angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.22,"[213, 46, 145, 194]",0.0,0.27,0.0,0.03,0.48,0.01
0.06,"[216, 53, 143, 197]",0.0,0.11,0.0,0.16,0.66,0.01
0.44,"[209, 58, 127, 175]",0.03,0.32,0.0,0.09,0.1,0.02
0.13,"[183, 64, 147, 202]",0.0,0.07,0.0,0.44,0.35,0.0
0.35,"[197, 47, 146, 197]",0.01,0.14,0.0,0.11,0.38,0.0
0.34,"[196, 53, 142, 191]",0.0,0.24,0.0,0.09,0.33,0.0
0.65,"[200, 58, 147, 198]",0.0,0.09,0.0,0.03,0.22,0.0
0.2,"[205, 69, 142, 201]",0.0,0.08,0.04,0.35,0.33,0.01
0.38,"[214, 74, 142, 189]",0.03,0.13,0.0,0.04,0.42,0.0
0.14,"[197, 71, 145, 200]",0.0,0.08,0.04,0.36,0.38,0.0
0.23,"[214, 76, 145, 193]",0.0,0.12,0.01,0.24,0.39,0.0
